RUNUP_HT,DIST_FROM_SOURCE,CAUSE_CODE,TS_INTENSITY,DAMAGE_AMOUNT_ORDER
3,10303,0,1,1
1.5,10355,0,1,1
2,10301,0,1,1
,9570,0,,1
3,523,0,1,1
3,1057,0,1,1
0.9,10578,0,1,1
0.6,40,0,1,1
4,102,0,1,1
6,21,0,1,1
4.5,24,0,,1
4.3,3,0,1,1
2.4,283,0,1,1
,211,0,1,1
,271,0,1,1
1.2,5925,0,,1
0.9,5922,0,1,1
,5978,0,1,1
1.5,406,0,1,1
,71,0,1,1
9,617,0,1,1
4.6,19,0,1,1
,63,0,1,1
,50,0,1,1
6,78,0,1,1
,0,0,,1
,481,0,,1
3,10,0,,1
7.2,40,0,,1
,90,0,,1
5,20,0,,1
6,35,0,,1
3,62,0,1,1
12,37,0,1,1
1.5,5636,0,1,1
3.5,5129,0,,1
3,2207,0,1,1
6.1,5318,0,1,1
,126,0,1,1
,281,0,1,1
1.8,6309,0,,1
3.1,136,0,1,1
2.1,10516,0,1,1
1,438,0,,1
5,321,0,,1
,10769,0,1,1
,10652,0,1,1
3.5,10767,0,,1
,10767,0,1,1
,7431,0,,1
0.9,10195,0,1,1
7,165,0,2,1
9,242,0,1,1
,146,0,1,1
,18,0,1,1
1,72,0,1,1
2,11,0,1,1
,138,0,,1
,134,0,,1
6,154,0,,1
0.1,52,0,,1
,0,0,,1
2.5,49,0,,1
,410,0,,1
12,18,0,,1
,5,0,,1
2,112,0,,1
,144,0,,1
10.5,60,0,,1
15,29,0,,1
,27,0,,1
3,111,0,,1
,159,0,,1
,193,0,,1
3.3,6110,0,1,1
3,6036,0,,1
3.2,6043,0,,1
0.13,776,0,,1
0.25,331,0,,1
7.2,39,0,,1
,6024,0,,1
5,338,0,,1
3.7,282,0,,1
0.9,0,0,,1
,218,0,,1
,695,0,,1
3.5,294,0,,1
0.2,3696,0,,1
,127,0,,1
149.35,28,0,2,1
1.8,24,0,2,1
,72,0,,1
,80,0,,1
0.75,77,0,,1
,254,0,,1
,50,0,,1
,31,0,,1
,44,0,,1
,6,0,,1
,57,0,,1
12,29,0,,1
,44,0,1,1
4.57,270,0,1,1
,268,0,1,1
,269,0,1,1
,283,0,,1
3,242,0,1,1
13,273,0,1,1
,287,0,1,1
13,250,0,1,1
,268,0,1,1
13,244,0,1,1
,259,0,1,1
13,252,0,,1
2,1191,0,1,1
5,88,0,1,1
5,115,0,1,1
6.2,121,0,1,1
1.2,3839,0,1,1
3.3,3812,0,1,1
2.1,3627,0,,1
,3575,0,1,1
,247,0,1,1
,144,0,1,1
35.05,167,0,1,1
0.8,7575,0,,1
1.3,3505,0,1,1
,3322,0,1,1
1.5,4122,0,1,1
2.6,3547,0,1,1
1.5,3318,0,1,1
2.1,3547,0,1,1
1.5,3618,0,1,1
8.2,3558,0,1,1
5,3666,0,1,1
4.5,3608,0,1,1
3.7,3769,0,,1
5.8,3560,0,,1
,3673,0,,1
,3513,,,1
11,3796,0,1,1
6,3694,1,1,1
8.5,3662,0,,1
6.6,3590,,,1
,3495,,,1
6,3520,,,1
,3524,0,,1
6.1,3664,1,,1
12,3751,0,2,1
8.5,3665,8,1,1
7.3,3490,,,1
1.2,2879,,,1
,3110,,,1
1.5,2778,,,1
2,139,,,1
,137,2,,1
2.5,0,1,3,1
,0,,,1
0.9,14,,,1
10,66,,,1
4.57,75,1,,1
,11,2,,1
0.3,298,0,,1
1.2,107,0,,1
0.3,13250,0,1,1
0.93,5575,0,,1
0.9,15400,0,1,1
2.4,5311,0,,1
1.3,4999,,,1
1.9,3301,,,1
,6068,6,,1
,15176,0,,1
3.2,5310,0,,1
,5120,1,,1
10.4,4820,2,,1
5.2,4959,2,,1
13,217,0,,1
1,6378,8,,1
0.9,9923,0,,1
1,9930,0,,1
10,535,0,,1
,3943,0,,1
5.2,3635,0,,1
2.4,,0,,1
19.81,,4,,1
3,,3,1,1
1,72,0,1,1
1,55,1,1,1
0.3,5078,2,,1
1.36,3944,,,1
8,84,,,1
4,94,0,,1
2.3,535,0,,1
6.1,3524,0,,1
2.1,3926,4,,1
7,3636,3,,1
6.1,246,0,,1
0.91,47,1,,1
524.26,60,2,,1
1.68,10266,0,1,1
0.88,9239,0,,1
1.37,9491,0,,1
1.34,9325,4,,1
3.4,10852,3,1,1
1,10042,0,,1
2.2,9802,1,,1
,9846,2,,1
10,192,0,,1
25,52,0,2,1
2.4,10725,0,,1
2.4,10842,4,,1
,10980,3,,1
2.1,10867,0,,1
4.6,10854,1,,1
0.9,85,2,,1
0.9,75,,,1
3.6,108,,,1
3.6,266,,,1
2.4,829,,1,1
1.6,3448,0,1,1
0.12,3691,0,,1
0.49,3693,0,1,1
0.53,3837,4,1,1
1.03,3654,3,1,1
1.9,4629,0,,1
3.6,4515,1,1,1
0.45,6315,2,1,1
3.29,442,0,1,1
1.2,215,,1,1
21.34,102,0,,1
6,264,0,,1
4.87,585,,,1
,458,0,1,1
,202,,1,1
4.6,1043,,1,1
,1060,,,1
7.3,533,0,1,1
9.14,439,3,1,1
9.14,309,,,1
12,66,1,1,1
15,58,1,1,1
1.2,281,0,1,1
3.65,535,,,1
30.78,59,2,,1
1.35,2933,2,2,1
0.8,3051,2,,1
0.3,2153,2,,1
1.5,3148,2,1,1
3.7,2685,0,1,1
1.4,3261,1,1,1
1.5,3428,,,1
1.4,3245,,1,1
1.4,3136,1,,1
0.8,3566,2,,1
1.2,3111,0,,1
2.03,2642,2,,1
0.99,3056,3,,1
,12203,0,1,1
4.8,2661,8,,1
1.5,3219,6,,1
6,3553,,,1
9,91,1,,1
9,93,0,,1
,81,1,,1
,700,1,,1
,10336,1,1,1
1.5,10627,1,1,1
,10577,0,1,1
,17,0,1,1
2,72,0,,1
,150,0,,1
2.8,56,0,,1
3,85,0,,1
1,234,0,,1
1.75,2519,0,,1
1.7,2628,1,1,1
,2505,1,1,1
1.4,2497,1,,1
1.4,2266,1,1,1
0.3,2387,1,1,1
3.05,2269,1,1,1
1.7,2472,,1,1
,2252,0,1,1
0.15,2635,0,,1
3.5,2389,0,1,1
,2275,0,,1
1.8,2163,0,2,1
3.5,2372,0,,1
3.66,2451,0,,1
2.4,2145,0,,1
1.43,2585,0,,1
1.5,3100,0,,1
,2408,0,,1
,2182,0,,1
2.96,2175,0,,1
1.4,2235,0,,1
2.4,2144,0,,1
1,2062,0,,1
0.73,2125,0,,1
,2176,0,,1
4.5,2135,0,,1
1.98,53,0,,1
,3111,0,,1
3.4,2142,0,,1
,107,0,,1
3,155,0,,1
2.6,31,0,,1
6.6,68,0,,1
4.9,82,0,,1
2.9,99,0,,1
2,238,0,,1
8,126,0,,1
3,139,0,,1
1.5,5,0,,1
4.5,158,0,,1
1,42,0,,1
0.5,38,0,1,1
,124,0,,1
,55,0,,1
0.2,4279,0,,1
,101,0,1,1
3.3,93,0,1,1
7.6,60,0,,1
,89,0,1,1
4.43,114,0,1,1
3,66,0,1,1
3.2,917,0,1,1
14.93,80,0,,1
0.43,199,0,1,1
1.5,110,0,1,1
2.8,38,0,1,1
2.5,30,0,1,1
,14,0,,1
,80,0,1,1
14,113,0,,1
1.5,58,0,,1
,12,0,,1
19,90,0,,1
9,80,0,,1
8.5,70,0,,1
4.7,121,0,,1
6,140,0,,1
4,125,0,,1
2.9,87,0,,1
5,81,0,,1
5,97,0,,1
6,112,0,,1
5,117,0,,1
3,7499,0,,1
2.39,25,2,,1
6,14,,,1
6,9,,,1
,242,,,1
,173,,,1
,212,,,1
2,2160,1,,1
,0,0,,1
,4,0,,1
,7,1,,1
5,26,,,1
,157,,,1
2.74,155,,,1
,196,1,,1
,7,8,,1
,8,2,,1
,12,,,1
,187,,,1
1.8,60,,,1
,16,,,1
15,20,0,,1
4.6,9,,,1
,84,1,,1
0.3,15,,,1
3,,2,,1
4,7256,0,,1
3,95,0,,1
6.1,108,,,1
,51,0,,1
,52,0,,1
,631,,,1
,366,1,,1
,332,6,,1
,493,,,1
,312,,,1
,315,,,1
,336,0,,1
,473,4,,1
,400,1,,1
,406,8,,1
,489,0,,1
,391,0,,1
,495,3,,1
,455,0,,1
,447,0,,1
,379,0,,1
,588,0,,1
,215,0,,1
,378,2,,1
,404,1,,1
2,329,0,,1
1.5,58,0,,1
6,247,0,2,1
7.6,242,0,,1
,23,0,,1
5,4,0,,1
,26,0,,1
1.3,40,0,,1
1.2,6,0,,1
,54,0,1,1
15,24,0,2,1
0.9,220,0,,1
,,0,,1
4.6,48,0,,1
3,59,0,,1
,232,0,,1
9.1,33,0,,1
1,646,0,,1
1.5,178,0,,1
12.19,407,0,,1
6.1,105,0,,1
0.8,242,0,,1
9.14,140,0,,1
,597,0,,1
6.1,224,0,,1
7.6,142,0,,1
15,588,0,,1
2.13,758,0,,1
21.95,126,0,,1
1.22,528,0,,1
,728,0,,1
7.6,40,0,,1
14.6,106,0,,1
11.9,90,0,,1
7.3,121,0,,1
,487,0,,1
7.8,505,0,,1
15.2,137,0,,1
11.6,3520,0,,1
6.7,3491,0,,1
2.29,12819,0,,1
1,11913,0,,1
,12689,0,,1
,0,1,,1
1,62,1,,1
6.1,13,,,1
8,63,,,1
,3573,,,1
13.7,523,1,,1
,2198,0,,1
,2552,3,,1
13.7,3489,2,,1
4.9,3516,0,,1
,11020,0,,1
,5,0,,1
,6,0,,1
2.4,5,0,,1
,325,0,,1
8.5,3650,0,,1
10.1,3653,0,,1
4,3819,0,,1
5.48,577,0,,1
4,69,0,,1
2.7,4515,,,1
1.46,2103,,,1
,230,0,,1
,231,2,,1
,337,,,1
,378,,,1
,339,,,1
1.9,803,,,1
2.6,800,0,,1
0.6,1392,0,,1
2,1395,0,,1
1.6,1722,0,,1
,1883,0,,1
0.9,1785,,,1
,6,,,1
,5609,,,1
1,62,,2,1
3.6,74,2,1,1
,166,,,1
7,79,1,,1
2,50,,,1
2,49,,,1
,7208,,,1
,1931,,,1
4.1,51,,,1
,0,,,1
4,7231,,,1
5,7235,,,1
,7560,,,1
,8105,,,1
,0,,,1
,27,,,1
,40,,,1
1.4,3944,1,,1
,83,0,,1
,233,,,1
,231,,,1
,331,,,1
,1124,,,1
,442,,,1
2,458,1,2,1
3.5,467,1,2,1
,458,,1,1
,381,0,,1
1.3,1163,,,1
,24,,,1
,47,,,1
3,51,1,,1
2,53,,,1
,69,,1,1
,67,,1,1
,66,,,1
,57,,1,1
0.5,21,,1,1
2,114,,1,1
